epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.323,1.12613,3.6768,1.42189,0.49263,0.53542,0.52321,0.39322,0.89374,1.79818,1.24944,8.95964e-05,8.95964e-05,8.95964e-05
2,192.88,1.01048,1.86685,1.27855,0.66014,0.71399,0.75789,0.57128,0.86991,1.25707,1.2359,0.00017604,0.00017604,0.00017604
3,282.351,1.00583,1.45694,1.25663,0.70868,0.69853,0.78864,0.58693,0.936,1.17746,1.27556,0.00025892,0.00025892,0.00025892
4,375.749,0.99777,1.30946,1.2488,0.77261,0.81107,0.87266,0.64423,0.9302,0.91787,1.31108,0.000253962,0.000253962,0.000253962
5,470.148,0.97846,1.16011,1.23828,0.8518,0.82288,0.91966,0.70462,0.85886,0.75881,1.22003,0.000248616,0.000248616,0.000248616
6,562.03,0.97807,1.10964,1.23911,0.82476,0.83116,0.90738,0.69018,0.85945,0.77257,1.2197,0.00024327,0.00024327,0.00024327
7,656.964,0.94459,1.03357,1.22219,0.82399,0.848,0.89677,0.70613,0.80826,0.74016,1.16458,0.000237924,0.000237924,0.000237924
8,753.405,0.928,0.98566,1.2063,0.7914,0.81999,0.89106,0.69257,0.81746,0.82018,1.1842,0.000232578,0.000232578,0.000232578
9,847.08,0.91525,0.93394,1.19973,0.8902,0.88732,0.94069,0.74477,0.79658,0.61556,1.16647,0.000227232,0.000227232,0.000227232
10,942.166,0.89312,0.88827,1.18576,0.88224,0.88496,0.94666,0.75057,0.78544,0.60299,1.13525,0.000221886,0.000221886,0.000221886
11,1036.38,0.88869,0.86211,1.18809,0.90026,0.91344,0.96476,0.75479,0.79185,0.54557,1.15,0.00021654,0.00021654,0.00021654
12,1131.18,0.88064,0.83738,1.18234,0.86251,0.88326,0.93779,0.75114,0.76632,0.61601,1.11296,0.000211194,0.000211194,0.000211194
13,1225.47,0.85793,0.79609,1.16713,0.9088,0.87919,0.95023,0.76175,0.76706,0.57104,1.13521,0.000205848,0.000205848,0.000205848
14,1318.3,0.84153,0.76675,1.15857,0.90098,0.86865,0.95123,0.77021,0.74143,0.59363,1.11065,0.000200502,0.000200502,0.000200502
15,1411.49,0.84671,0.75337,1.15937,0.92649,0.9178,0.96566,0.78479,0.73182,0.47074,1.10114,0.000195156,0.000195156,0.000195156
16,1506.52,0.83874,0.73266,1.15175,0.91289,0.91989,0.9642,0.79038,0.70783,0.48801,1.08621,0.00018981,0.00018981,0.00018981
17,1600.64,0.83661,0.70959,1.15455,0.92794,0.90913,0.96678,0.78569,0.73259,0.49181,1.09415,0.000184464,0.000184464,0.000184464
18,1693.55,0.82639,0.69764,1.13949,0.93559,0.91542,0.96839,0.7856,0.72287,0.48091,1.09412,0.000179118,0.000179118,0.000179118
19,1789,0.81075,0.68196,1.1384,0.90782,0.9225,0.96009,0.78805,0.70673,0.4871,1.08316,0.000173772,0.000173772,0.000173772
20,1881.74,0.79707,0.66801,1.12677,0.94406,0.93721,0.97656,0.79962,0.71819,0.43367,1.08984,0.000168426,0.000168426,0.000168426
21,1975.39,0.78635,0.63897,1.12227,0.9277,0.94082,0.97019,0.80114,0.70229,0.44565,1.07331,0.00016308,0.00016308,0.00016308
22,2072.36,0.79789,0.64741,1.12865,0.94715,0.9457,0.97644,0.80569,0.70906,0.42595,1.0691,0.000157734,0.000157734,0.000157734
23,2164.8,0.79605,0.63815,1.13359,0.94302,0.95068,0.97718,0.8095,0.69781,0.40761,1.08141,0.000152388,0.000152388,0.000152388
24,2257.74,0.77832,0.62249,1.12227,0.94418,0.92592,0.97133,0.8047,0.69253,0.42842,1.0654,0.000147042,0.000147042,0.000147042
25,2354.81,0.76668,0.60941,1.11549,0.94541,0.92283,0.97537,0.8138,0.69028,0.42561,1.05977,0.000141696,0.000141696,0.000141696
26,2446.27,0.76313,0.58535,1.11155,0.93836,0.94843,0.97476,0.80884,0.67816,0.41774,1.0592,0.00013635,0.00013635,0.00013635
27,2537.73,0.75805,0.58565,1.10891,0.95063,0.93817,0.97368,0.80794,0.68285,0.41187,1.05618,0.000131004,0.000131004,0.000131004
28,2631.62,0.74713,0.57898,1.10372,0.94901,0.93798,0.97382,0.81074,0.67735,0.4196,1.05696,0.000125658,0.000125658,0.000125658
29,2723.57,0.73255,0.55983,1.09522,0.94716,0.94791,0.97792,0.81961,0.69033,0.39835,1.04999,0.000120312,0.000120312,0.000120312
30,2815.39,0.73255,0.56044,1.09703,0.96739,0.93891,0.98031,0.82065,0.66258,0.38701,1.04554,0.000114966,0.000114966,0.000114966
31,2910.66,0.73252,0.56131,1.09519,0.95467,0.95144,0.97785,0.81565,0.67176,0.39946,1.05328,0.00010962,0.00010962,0.00010962
32,3002.03,0.72393,0.54029,1.09111,0.95335,0.95222,0.97794,0.82019,0.68096,0.39464,1.05261,0.000104274,0.000104274,0.000104274
33,3091.49,0.70758,0.52454,1.07971,0.95204,0.949,0.97794,0.82496,0.65409,0.3857,1.04031,9.8928e-05,9.8928e-05,9.8928e-05
34,3180.11,0.69757,0.52178,1.07624,0.96085,0.94137,0.9781,0.82655,0.66487,0.39436,1.04009,9.3582e-05,9.3582e-05,9.3582e-05
35,3270.84,0.69065,0.51225,1.07611,0.96404,0.948,0.97926,0.82178,0.66741,0.38623,1.04062,8.8236e-05,8.8236e-05,8.8236e-05
